"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAPOWER","EQ","29-Dec-2020","         77.20","         78.00","         78.80","         76.25","         76.55","         76.55","         77.37","   28745694","          2223979423.15","      60734","    5619522","         19.55"
"TATAPOWER","EQ","30-Dec-2020","         76.55","         76.95","         76.95","         75.20","         75.95","         75.80","         75.81","   17918812","          1358497724.15","      42221","    4442468","         24.79"
"TATAPOWER","EQ","31-Dec-2020","         75.80","         75.85","         76.50","         75.40","         75.60","         75.65","         75.80","   15495713","          1174589452.40","      31962","    2704966","         17.46"
"TATAPOWER","EQ","01-Jan-2021","         75.65","         76.00","         77.75","         75.80","         77.45","         77.35","         76.80","   19041567","          1462482110.10","      41882","    4571004","         24.01"
"TATAPOWER","EQ","04-Jan-2021","         77.35","         78.05","         79.65","         77.50","         79.40","         79.25","         78.80","   23712305","          1868416907.50","      48860","    7352595","         31.01"
"TATAPOWER","EQ","05-Jan-2021","         79.25","         78.00","         82.20","         77.90","         80.95","         81.15","         80.54","   46181972","          3719485510.80","      94337","   11545894","         25.00"
"TATAPOWER","EQ","06-Jan-2021","         81.15","         82.00","         83.50","         80.75","         82.35","         82.45","         82.37","   46157617","          3802126471.00","      96899","   12023021","         26.05"
"TATAPOWER","EQ","07-Jan-2021","         82.45","         83.15","         83.65","         81.50","         82.05","         81.85","         82.36","   35219703","          2900558008.80","     102139","   10277730","         29.18"
"TATAPOWER","EQ","08-Jan-2021","         81.85","         84.35","         84.60","         82.60","         82.85","         83.05","         83.39","   41178215","          3433941438.10","      98735","   11893024","         28.88"
"TATAPOWER","EQ","11-Jan-2021","         83.05","         83.60","         83.95","         82.15","         83.35","         83.30","         83.15","   25575169","          2126623637.75","      66549","    8011681","         31.33"
"TATAPOWER","EQ","12-Jan-2021","         83.30","         83.00","         87.30","         82.65","         86.10","         86.05","         85.89","   43670529","          3750830708.05","      99572","   11371775","         26.04"
"TATAPOWER","EQ","13-Jan-2021","         86.05","         86.90","         87.65","         83.75","         85.70","         85.85","         86.03","   37272052","          3206588691.20","      94557","    8770535","         23.53"
"TATAPOWER","EQ","14-Jan-2021","         85.85","         86.10","         87.15","         84.90","         86.00","         85.95","         85.97","   20620191","          1772656362.40","      57034","    5526676","         26.80"
"TATAPOWER","EQ","15-Jan-2021","         85.95","         86.40","         88.00","         84.35","         85.60","         85.55","         86.46","   35416980","          3062222368.85","      92162","    7399573","         20.89"
"TATAPOWER","EQ","18-Jan-2021","         85.55","         85.85","         85.85","         81.00","         81.55","         82.10","         82.76","   31480725","          2605409801.90","      91833","    6513037","         20.69"
"TATAPOWER","EQ","19-Jan-2021","         82.10","         82.75","         85.70","         82.60","         85.60","         85.40","         84.30","   25469132","          2147116543.65","      69344","    4589641","         18.02"
"TATAPOWER","EQ","20-Jan-2021","         85.40","         85.60","         86.45","         84.15","         84.55","         84.80","         85.09","   19476831","          1657209954.45","      51234","    5463740","         28.05"
"TATAPOWER","EQ","21-Jan-2021","         84.80","         85.50","         85.70","         82.20","         83.60","         83.00","         84.15","   16889392","          1421310168.25","      64229","    5244315","         31.05"
"TATAPOWER","EQ","22-Jan-2021","         83.00","         82.90","         83.10","         77.95","         79.50","         79.40","         79.91","   42934185","          3430731742.20","     163437","   15126931","         35.23"
"TATAPOWER","EQ","25-Jan-2021","         79.40","         84.00","         84.00","         78.00","         79.30","         79.25","         79.92","   55671719","          4449372014.05","     137412","   11989369","         21.54"
"TATAPOWER","EQ","27-Jan-2021","         79.25","         79.65","         79.80","         75.65","         76.00","         75.95","         77.25","   47062543","          3635463411.70","     110840","   14708724","         31.25"
"TATAPOWER","EQ","28-Jan-2021","         75.95","         75.00","         77.90","         74.45","         77.40","         77.10","         76.34","   40097316","          3061221920.60","     101414","    7274618","         18.14"
