"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADANIPOWER","EQ","25-Mar-2021","        104.35","        105.40","        108.70","         99.15","         99.15","         99.15","        101.26","   48575495","          4918861794.45","     185385","   20633459","         42.48"
"ADANIPOWER","EQ","26-Mar-2021","         99.15","         99.20","        103.00","         94.20","         94.20","         94.20","         95.71","   28056328","          2685241566.85","     116682","   12318648","         43.91"
"ADANIPOWER","EQ","30-Mar-2021","         94.20","         95.00","         95.55","         89.50","         89.50","         89.50","         90.52","   22501268","          2036895410.90","      81665","   10768961","         47.86"
"ADANIPOWER","EQ","31-Mar-2021","         89.50","         86.15","         87.70","         85.05","         85.05","         85.05","         86.05","   15893871","          1367745913.35","      55804","    7135806","         44.90"
"ADANIPOWER","EQ","01-Apr-2021","         85.05","         83.20","         89.30","         81.35","         89.30","         89.30","         85.96","   43478357","          3737223024.50","     110148","   13661598","         31.42"
"ADANIPOWER","EQ","05-Apr-2021","         89.30","         92.40","         93.75","         89.20","         93.75","         93.75","         92.88","   26119543","          2426064602.40","      86659","   10685974","         40.91"
"ADANIPOWER","EQ","06-Apr-2021","         93.75","         97.90","         98.40","         97.50","         98.40","         98.40","         98.28","    3367192","           330930026.65","      10786","    3013564","         89.50"
"ADANIPOWER","EQ","07-Apr-2021","         98.40","        103.30","        103.30","         95.50","        100.05","         99.95","        100.65","   60992792","          6139140354.65","     251953","   18345601","         30.08"
"ADANIPOWER","EQ","08-Apr-2021","         99.95","        100.60","        102.00","         96.80","         97.20","         97.40","         98.91","   19905893","          1968952684.05","      98972","    7885421","         39.61"
"ADANIPOWER","EQ","09-Apr-2021","         97.40","         97.40","         99.80","         94.60","         97.60","         97.65","         98.28","   18604791","          1828392399.60","      65480","    8474375","         45.55"
"ADANIPOWER","EQ","12-Apr-2021","         97.65","         94.40","         94.40","         92.80","         92.80","         92.80","         93.00","   15853703","          1474337298.05","      46409","    8681988","         54.76"
"ADANIPOWER","EQ","13-Apr-2021","         92.80","         89.55","         95.00","         88.30","         90.35","         90.60","         90.88","   28128438","          2556182156.00","     100589","    6377548","         22.67"
"ADANIPOWER","EQ","15-Apr-2021","         90.60","         88.55","         92.40","         88.50","         90.40","         90.75","         90.55","   21099016","          1910489436.35","      85313","    5546755","         26.29"
"ADANIPOWER","EQ","16-Apr-2021","         90.75","         91.70","         94.60","         90.80","         91.70","         91.75","         93.05","   16439433","          1529657698.40","      69844","    4674933","         28.44"
"ADANIPOWER","EQ","19-Apr-2021","         91.75","         88.00","         89.95","         87.20","         87.30","         87.45","         88.17","   15381214","          1356107203.05","      67457","    5603295","         36.43"
"ADANIPOWER","EQ","20-Apr-2021","         87.45","         89.95","         90.65","         85.00","         87.25","         87.15","         88.21","   11873826","          1047446488.70","      57610","    4068164","         34.26"
"ADANIPOWER","EQ","22-Apr-2021","         87.15","         86.10","         88.30","         85.20","         86.80","         87.20","         86.69","   12818441","          1111260267.90","      55011","    3359238","         26.21"
